 ,Label,Area,Mean,Min,Max,Perim.
215,frame_0030.png:0002-1081,48.887,71.726,7,168,30.259
216,frame_0030.png:0003-1297,49.640,67.866,4,136,30.336
217,frame_0030.png:0001-0900,47.063,74.209,9,136,28.988
218,frame_0030.png:0002-1080,48.955,71.719,7,168,30.436
219,frame_0030.png:0003-1296,49.727,67.899,4,136,30.586
220,frame_0030.png:0001-0900,47.225,74.071,9,136,29.165
221,frame_0030.png:0002-1080,49.192,71.650,7,168,30.129
222,frame_0030.png:0003-1296,50.107,67.723,4,136,30.986
223,frame_0030.png:0001-0901,47.343,73.540,9,136,29.211
224,frame_0030.png:0002-1081,49.360,70.976,7,168,30.232
225,frame_0030.png:0003-1297,50.356,66.945,4,136,30.782
226,frame_0030.png:0001-0900,47.356,73.561,9,136,29.119
227,frame_0030.png:0002-1081,49.298,70.858,7,168,31.375
228,frame_0030.png:0003-1297,50.219,67.102,4,136,31.071
229,frame_0030.png:0001-0901,47.119,73.502,9,136,29.146
230,frame_0030.png:0002-1081,49.466,70.938,7,168,30.687
231,frame_0030.png:0003-1296,50.088,67.162,4,136,30.540
232,frame_0030.png:0001-0902,48.252,70.870,8,136,29.676
233,frame_0030.png:0002-1083,50.766,67.740,7,168,30.779
234,frame_0030.png:0003-1298,51.669,63.943,4,135,31.013
235,frame_0030.png:0001-0902,48.053,70.860,8,136,29.499
236,frame_0030.png:0002-1083,50.511,67.744,7,168,30.891
237,frame_0030.png:0003-1299,51.588,63.952,4,135,31.190
238,frame_0030.png:0001-0902,48.022,71.011,8,136,29.499
239,frame_0030.png:0002-1083,50.405,67.938,7,168,30.594
240,frame_0030.png:0003-1298,51.140,64.133,4,135,31.394
241,frame_0030.png:0001-0901,48.047,70.894,8,136,29.388
242,frame_0030.png:0002-1083,50.455,67.991,7,168,30.883
243,frame_0030.png:0003-1298,51.351,63.995,4,135,31.209
244,frame_0030.png:0001-0868,30.577,127.427,98,136,23.478
245,frame_0030.png:0002-1049,32.668,126.637,89,168,24.276
246,frame_0030.png:0003-1262,31.181,124.482,73,136,23.768
247,frame_0030.png:0001-0868,30.577,127.427,98,136,23.478
248,frame_0030.png:0002-1049,32.668,126.637,89,168,24.276
249,frame_0030.png:0003-1262,31.181,124.482,73,136,23.768
250,frame_0030.png:0001-0868,32.612,126.219,79,136,24.305
251,frame_0030.png:0002-1049,34.809,125.408,84,168,25.196
252,frame_0030.png:0003-1262,32.469,123.677,69,136,24.037
253,frame_0030.png:0001-0868,33.104,126.063,82,136,24.352
254,frame_0030.png:0002-1049,34.871,125.375,86,168,25.615
255,frame_0030.png:0003-1263,32.239,123.972,73,136,24.326
256,frame_0030.png:0001-0869,34.641,125.285,74,136,25.067
257,frame_0030.png:0002-1049,36.153,124.591,74,168,25.912
258,frame_0030.png:0003-1263,33.589,123.121,72,136,24.603
259,frame_0030.png:0001-0869,35.718,124.650,65,136,25.383
260,frame_0030.png:0002-1049,36.869,124.119,74,168,26.096
261,frame_0030.png:0003-1263,34.535,122.425,48,136,25.068
262,frame_0030.png:0001-0869,36.415,124.276,63,136,25.671
263,frame_0030.png:0002-1049,37.261,123.869,73,168,26.181
264,frame_0030.png:0003-1264,35.319,121.878,53,136,25.365
265,frame_0030.png:0001-0869,36.657,124.144,63,136,25.764
266,frame_0030.png:0002-1049,37.286,123.915,67,168,26.162
267,frame_0030.png:0003-1264,35.307,121.927,50,136,25.469
268,frame_0030.png:0001-0869,36.788,124.085,63,136,25.829
269,frame_0030.png:0002-1049,37.354,123.852,73,168,26.292
270,frame_0030.png:0003-1264,35.406,121.871,53,136,25.319
271,frame_0030.png:0001-0870,37.112,123.897,57,136,25.894
272,frame_0030.png:0002-1050,37.498,123.795,73,168,26.535
273,frame_0030.png:0003-1264,35.587,121.833,60,136,25.476
274,frame_0030.png:0001-0870,37.771,123.472,54,136,26.079
